imageUrl,hue,saturation,lightness,vibrant,muted,darkVibrant,darkMuted,lightVibrant
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05109.jpg,9.49,71.08,48.82,#d54024,#b48859,#744112,#654833,#fcd474
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05106.jpg,20.69,36.71,30.98,#6c4632,#a09170,#5a3a29,#342920,#d5b5a4
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05103.jpg,0.00,27.12,50.00,#a25c5c,#9e796e,#543030,#39312b,#ceaaaa
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05100.jpg,24.71,14.29,50.00,#917c6d,#9b7550,#4b4038,#583d2c,#c6bbb3
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05097.jpg,36.35,40.94,50.20,#b48b4c,#936e63,#7f2f14,#4c2f24,#d7c2a1
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05094.jpg,30.46,45.45,50.00,#b98045,#867e78,#684827,#412f22,#dabd9e
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05091.jpg,41.10,56.44,55.88,#cea64f,#9c5746,#67231a,#714f3e,#b89666
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05088.jpg,31.20,49.02,50.00,#be8241,#886a46,#4c341a,#4f3c28,#ddbe9c
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05085.jpg,15.47,58.72,42.75,#ad4e2d,#9c7c4d,#50271e,#533935,#e3a995
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05082.jpg,39.80,42.98,55.29,#be9d5c,#85796f,#644928,#504430,#d9c6a0
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05080.jpg,9.60,45.45,43.14,#a04c3c,#a57955,#7c542c,#43372d,#fcece4
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05077.jpg,36.77,35.63,50.00,#ac8952,#978167,#3b2f1c,#433b34,#d4c2a5
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05074.jpg,37.33,50.00,35.29,#87652d,#b29763,#2d1e0c,#4d4640,#ddc49b
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05071.jpg,36.00,40.43,53.92,#b9935a,#9c7950,#5e442a,#684f39,#fcf3ec
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05069.jpg,32.06,52.61,51.18,#c48741,#9c746c,#671b14,#482d23,#fcece4
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05066.jpg,33.33,63.78,49.80,#d0882e,#8c6b5b,#852e19,#6b4833,#e29c3c
